datatype;datatype_member;fn
\N;\N;atomic_read
\N;\N;atomic_set
\N;\N;atomic_add
\N;\N;atomic_sub
\N;\N;atomic_sub_return
\N;\N;atomic_sub_and_test
\N;\N;atomic_inc
\N;\N;atomic_dec
\N;\N;atomic_dec_return
\N;\N;atomic_dec_and_test
\N;\N;atomic_inc
\N;\N;atomic_inc_return
\N;\N;atomic_inc_and_test
\N;\N;atomic_add_negative
\N;\N;atomic_add_return
\N;\N;atomic_sub_return
\N;\N;atomic_fetch_add
\N;\N;atomic_fetch_sub
\N;\N;atomic_cmpxchg
\N;\N;atomic_xchg
\N;\N;atomic_fetch_and
\N;\N;atomic_fetch_or
\N;\N;atomic_fetch_xor
\N;\N;atomic_inc_short
\N;\N;_atomic_dec_and_lock
\N;\N;__atomic_add_unsless
\N;\N;set_bit
\N;\N;__set_bit
\N;\N;clear_bit
\N;\N;clear_bit_unlock
\N;\N;__clear_bit
\N;\N;clear_bit_unlock_is_negative_byte
\N;\N;__clear_bit_unlock
\N;\N;__change_bit
\N;\N;change_bit
\N;\N;test_and_set_bit
\N;\N;test_and_set_bit_lock
\N;\N;__test_and_set_bit
\N;\N;test_and_clear_bit
\N;\N;__test_and_clear_bit
\N;\N;test_and_change_bit
\N;\N;__test_and_change_bit
\N;\N;constant_test_bit
\N;\N;variable_test_bit
\N;\N;mount_fs
\N;\N;__raw_cmpxchg_lock_prefix_b
\N;\N;__raw_cmpxchg_lock_prefix_w
\N;\N;__raw_cmpxchg_lock_prefix_l
\N;\N;__raw_cmpxchg_lock_prefix_q
\N;\N;__raw_cmpxchg_lock_b
\N;\N;__raw_cmpxchg_lock_w
\N;\N;__raw_cmpxchg_lock_l
\N;\N;__raw_cmpxchg_lock_q
\N;\N;__raw_cmpxchg_none_b
\N;\N;__raw_cmpxchg_none_w
\N;\N;__raw_cmpxchg_none_l
\N;\N;__raw_cmpxchg_none_q
\N;\N;kernel_init
inode;\N;alloc_anon_inode
inode;\N;clear_inode
inode;\N;configfs_fill_super
inode;\N;configfs_new_inode
inode;\N;debug_fill_super
inode;\N;devpts_mount
inode:ext4;\N;ext4_fill_super
inode:ext4;\N;ext4_set_aops
inode;\N;inode_init_always
inode;\N;inode_init_once
inode;\N;inode_init_owner
inode;\N;kernfs_init_inode
inode;\N;make_empty_dir_inode
inode:debugfs;\N;debugfs_get_inode
inode:mqueue;\N;mqueue_get_inode
inode;\N;new_inode_pseudo
inode:proc;\N;proc_get_inode
inode;\N;ramfs_get_inode
inode;\N;shmem_get_inode
inode;\N;simple_fill_super
inode:ext4;\N;ext4_iget
inode;\N;sock_alloc
inode;\N;shmem_fill_super
inode;\N;hugetlbfs_fill_super
inode;\N;mount_pseudo
inode:proc;\N;proc_pid_instantiate
inode:ext4;\N;__ext4_new_inode
inode;\N;shmem_evict_inode
inode;\N;shmem_free_inode
inode:ext4;\N;ext4_free_inode
inode;\N;destroy_inode
inode;\N;__destroy_inode
inode:proc;\N;proc_setup_self
inode:proc;\N;proc_pid_make_inode
inode;\N;init_special_inode
inode;\N;mount_pseudo_xattr
inode;\N;proc_setup_thread_self
inode:debugfs;\N;debugfs_create_dir
inode:pipefs;\N;get_pipe_inode
inode:proc;\N;proc_pident_instantiate
inode:devtmpfs;\N;cd_forget
inode:devtmpfs;\N;bd_forget
inode:proc;\N;proc_sys_make_inode
inode:proc;\N;proc_fd_instantiate
inode:debugfs;\N;__debugfs_create_file
inode:devtmpfs;i_bdev;bdget
inode:tracefs;\N;tracefs_get_inode
inode:tracefs;\N;tracer_init_tracefs
super_block;\N;alloc_super
super_block;\N;ext4_fill_super
super_block;\N;devpts_mount
super_block;\N;configfs_fill_super
super_block;\N;debug_fill_super
super_block;\N;shmem_fill_super
super_block;\N;hugetlbfs_fill_super
super_block;\N;ramfs_fill_super
super_block;\N;proc_fill_super
super_block;\N;simple_fill_super
super_block;\N;mqueue_fill_super
pipe_inode_info;\N;get_pipe_inode
pipe_inode_info;\N;create_pipe_files
pipe_inode_info;\N;free_pipe_info
block_device;\N;init_once
block_device;\N;ext4_fill_super
block_device;\N;configfs_fill_super
block_device;\N;debug_fill_super
block_device;\N;shmem_fill_super
block_device;\N;hugetlbfs_fill_super
block_device;\N;ramfs_fill_super
block_device;\N;proc_fill_super
block_device;\N;simple_fill_super
block_device;\N;mqueue_fill_super
journal_t;\N;jbd2_journal_init_inode
journal_t;\N;journal_init_common
journal_t;\N;ext4_fill_super
journal_t;\N;jbd2_journal_load
journal_t;\N;load_superblock
journal_t;\N;jbd2_journal_recover
journal_t;j_commit_timer;init_timer_key
journal_t;\N;jbd2_journal_init_revoke
journal_t;\N;jbd2_stats_proc_init
journal_t;\N;jbd2_journal_init_dev
transaction_t;\N;jbd2_get_transaction
transaction_t;\N;start_this_handle
journal_head;\N;jbd2_journal_add_journal_head
journal_head;\N;__journal_remove_journal_head
dentry;\N;__d_alloc
dentry;\N;d_free
dentry;\N;__d_free
dentry;\N;__d_free_external
buffer_head;\N;free_buffer_head
buffer_head;\N;alloc_buffer_head
buffer_head;\N;jbd2_unfile_log_bh
buffer_head;\N;alloc_page_buffers
buffer_head;\N;blkdev_get_block
buffer_head;\N;create_empty_buffers
buffer_head;\N;link_dev_buffers
buffer_head;\N;create_page_buffers
buffer_head;\N;init_page_buffers
