datatype;datatype_member
inode;i_fop
inode;i_lock
inode;i_mutex
inode;i_rwsem
inode;i_private
inode;i_data.i_mmap_mutex
inode;i_data.i_mmap_rwsem
inode;i_data.private_lock
inode;i_data.tree_lock
journal_t;j_checkpoint_mutex
journal_t;j_list_lock
journal_t;j_revoke_lock
journal_t;j_history_lock
journal_t;j_state_lock
journal_t;j_barrier
journal_t;j_wait_transaction_locked
journal_t;j_wait_done_commit
journal_t;j_wait_commit
journal_t;j_wait_updates
journal_t;j_wait_reserved
transaction_t;t_handle_lock
super_block;s_vfs_rename_mutex
super_block;s_inode_list_lock
super_block;s_inode_wblist_lock
backing_dev_info;wb.list_lock
backing_dev_info;wb.work_lock
block_device;bd_mutex
block_device;bd_fsfreeze_mutex
pipe_inode_info;mutex
bdi_writeback;list_lock
bdi_writeback;work_lock
dentry;d_lockref.lock
